node, lineFrom, lineTo
549, 2052, 1088
549, 1100, 2068
549, 1100, 2052
549, 2052, 1100
549, 1088, 2068
549, 1088, 2052
549, 2052, 1668
549, 1668, 2052
549, 2052, 1667
613, 2052, 549
613, 2052, 536
613, 549, 2052
613, 547, 2052
613, 2068, 536
613, 536, 2068
613, 2068, 549
613, 549, 2068
613, 547, 2068
613, 536, 2052
302, 536, 473
302, 549, 466
302, 536, 466
302, 466, 536
302, 466, 549
302, 473, 549
302, 549, 473
302, 473, 547
302, 466, 547
302, 547, 473
160, 1118, 647
160, 663, 1062
160, 663, 1100
160, 635, 1062
160, 1100, 646
160, 1118, 646
160, 635, 1118
160, 635, 1088
160, 663, 1088
160, 663, 1118
160, 1118, 635
160, 1100, 647
160, 1062, 647
160, 1062, 646
108, 2190, 1572
108, 3336, 2185
108, 3344, 1572
108, 3345, 1572
108, 1577, 2185
108, 2190, 3345
519, 1222, 24
519, 1240, 24
519, 28, 1240
234, 1222, 2517
234, 1233, 2517
234, 1244, 2517
234, 1233, 2522
234, 1218, 2517
234, 2517, 1222
234, 1231, 2517
234, 1231, 2522
234, 1244, 2522
234, 2522, 1222
234, 2522, 1218
234, 1222, 2522
234, 2517, 1231
234, 1218, 2522
234, 1240, 2522
234, 1240, 2517
234, 2517, 1244
35, 1118, 466
35, 473, 1118
35, 466, 1118
35, 473, 1062
35, 1118, 473
647, 547, 1650
266, 1656, 453
266, 453, 1650
680, 645, 1400
745, 2523, 1404
745, 2522, 1404
745, 1400, 2509
745, 1400, 2522
745, 2517, 1404
745, 2509, 1400
745, 1404, 2509
423, 24, 453
423, 24, 419
