node, lineFrom, lineTo, walkTime
549, 2052, 1088, 25.4837980455713
549, 1100, 2068, 32.6060568664435
549, 1100, 2052, 22.4165528053281
549, 2052, 1100, 22.4165528053281
549, 1088, 2068, 26.3207363826097
549, 1088, 2052, 25.4837980455713
549, 2052, 1668, 22.4165528053281
549, 1668, 2052, 22.4165528053281
549, 2052, 1667, 25.4837980455713
613, 2052, 549, 18.6850454830156
613, 2052, 536, 16.7651555437778
613, 549, 2052, 18.6850454830156
613, 547, 2052, 18.6850454830156
613, 2068, 536, 16.9793924636745
613, 536, 2068, 16.9793924636745
613, 2068, 549, 15.0079367647686
613, 549, 2068, 15.0079367647686
613, 547, 2068, 15.0079367647686
613, 536, 2052, 16.7651555437778
302, 536, 473, 24.6891975613283
302, 549, 466, 21.160801842986
302, 536, 466, 29.528052037479
302, 466, 536, 29.528052037479
302, 466, 549, 21.160801842986
302, 473, 549, 25.2490069124499
302, 549, 473, 25.2490069124499
302, 473, 547, 25.2490069124499
302, 466, 547, 21.160801842986
302, 547, 473, 25.2490069124499
160, 1118, 647, 48.8914202415725
160, 663, 1062, 47.6444264651038
160, 663, 1100, 47.6444264651038
160, 635, 1062, 47.6444264651038
160, 1100, 646, 30.658093801048
160, 1118, 646, 48.8914202415725
160, 635, 1118, 33.3950448900332
160, 635, 1088, 33.3950448900332
160, 663, 1088, 33.3950448900332
160, 663, 1118, 33.3950448900332
160, 1118, 635, 33.3950448900332
160, 1100, 647, 30.658093801048
160, 1062, 647, 30.658093801048
160, 1062, 646, 30.658093801048
108, 2190, 1572, 0
108, 3336, 2185, 43.4675024907731
108, 3344, 1572, 29.3838760372388
108, 3345, 1572, 29.3838760372388
108, 1577, 2185, 0
108, 2190, 3345, 29.3838760372388
519, 1222, 24, 38.7598792278727
519, 1240, 24, 38.7598792278727
519, 28, 1240, 19.2542901199344
234, 1222, 2517, 28.0858376871731
234, 1233, 2517, 17.6440615242462
234, 1244, 2517, 17.6440615242462
234, 1233, 2522, 17.6440615242462
234, 1218, 2517, 28.0858376871731
234, 2517, 1222, 28.0858376871731
234, 1231, 2517, 17.6440615242462
234, 1231, 2522, 17.6440615242462
234, 1244, 2522, 17.6440615242462
234, 2522, 1222, 28.0858376871731
234, 2522, 1218, 28.0858376871731
234, 1222, 2522, 28.0858376871731
234, 2517, 1231, 17.6440615242462
234, 1218, 2522, 28.0858376871731
234, 1240, 2522, 28.0858376871731
234, 1240, 2517, 28.0858376871731
234, 2517, 1244, 17.6440615242462
35, 1118, 466, 18.8889769092609
35, 473, 1118, 22.4158032640582
35, 466, 1118, 18.8889769092609
35, 473, 1062, 27.06511536792
35, 1118, 473, 22.4158032640582
647, 547, 1650, 26.0557235167063
266, 1656, 453, 35.8203377013366
266, 453, 1650, 43.7587494229789
680, 645, 1400, 6.76933208062574
745, 2523, 1404, 43.7627237777347
745, 2522, 1404, 19.4543143592663
745, 1400, 2509, 30.8263032394303
745, 1400, 2522, 17.4766197719657
745, 2517, 1404, 19.4543143592663
745, 2509, 1400, 30.8263032394303
745, 1404, 2509, 43.7627237777347
423, 24, 453, 34.3452396053773
423, 24, 419, 48.9630703198768
